vertexes,edges,density,time
97,3724,0.4,58.362975033334884
98,3802,0.4,60.08727910000099
99,3880,0.4,63.907341633336046
100,3960,0.4,64.49199309999851
1,0,0.45,0.000636033331602448
2,0,0.45,0.0011429333369505912
3,2,0.45,0.002751300002046264
4,5,0.45,0.005548533321568054
5,9,0.45,0.008872266664639028
6,13,0.45,0.014691699999502816
7,18,0.45,0.024494366668174433
8,25,0.45,0.037012466666889544
9,32,0.45,0.051933533327049496
10,40,0.45,0.06811100000921518
11,49,0.45,0.09258066666954316
12,59,0.45,0.11728890000123708
13,70,0.45,0.1540638333381139
14,81,0.45,0.18556523332904362
15,94,0.45,0.2301874999981616
16,108,0.45,0.27952500000575736
17,122,0.45,0.33444023333686346
18,137,0.45,0.4026818666697333
19,153,0.45,0.4702695000029659
20,171,0.45,0.5375110666705041
21,189,0.45,0.6332665666699692
22,207,0.45,0.720899999989418
23,227,0.45,0.8324055666681337
24,248,0.45,0.9350138666661678
25,270,0.45,1.043787500001751
26,292,0.45,1.2079709000014798
27,315,0.45,1.3344527333345013
28,340,0.45,1.4753654333446775
29,365,0.45,1.647830566664273
30,391,0.45,1.8308944999982184
