vertexes,edges,density,time
17,122,0.45,0.9039151667214659
18,137,0.45,1.076215166676775
19,153,0.45,1.2523333666498122
20,171,0.45,1.443605533374163
21,189,0.45,1.6790708333549749
22,207,0.45,1.9069986333003424
23,227,0.45,2.1874013333520756
24,248,0.45,2.4843557333194135
25,270,0.45,2.7773388332661852
26,292,0.45,3.1385374666873154
27,315,0.45,3.524127833300857
28,340,0.45,3.9128152999637678
29,365,0.45,4.338122233336132
30,391,0.45,4.789059666700268
31,418,0.45,5.2752971999931715
32,446,0.45,5.77986943333902
33,475,0.45,6.349779166657754
34,504,0.45,6.936916733381319
35,535,0.45,7.535466633301742
36,567,0.45,8.197288833374236
37,599,0.45,8.915511199923762
38,632,0.45,9.636949933428696
39,666,0.45,10.337220833328805
40,702,0.45,11.126770833410168
41,738,0.45,11.96571530000862
42,774,0.45,12.949988900012007
