vertexes,density,time,probability,result
34,0.5,2.893369433333959,0,0.0
35,0.5,3.2182486333333316,0,0.0
36,0.5,3.455809700000382,0,0.0
37,0.5,3.7891500333339914,0,0.0
38,0.5,4.045747233333212,0,0.0
39,0.5,4.38838486666621,0,0.0
40,0.5,4.744687566666291,0,0.0
41,0.5,5.142065233333426,0,0.0
42,0.5,5.564986133332894,0,0.0
43,0.5,6.065662333332493,0,0.0
44,0.5,6.4050584000007404,0,0.0
45,0.5,6.822655733333723,0,0.0
46,0.5,7.209038833333163,0,0.0
47,0.5,7.675576300000131,0,0.0
48,0.5,8.284888866666288,0,0.0
49,0.5,8.825133366667378,0,0.0
50,0.5,9.336252799999775,0,0.0
1,0.55,0.000648633333592367,0,0.0
2,0.55,0.0013902999998075909,0,0.0
3,0.55,0.0030694333335172055,0,0.0
4,0.55,0.006162400000656969,0,0.0
5,0.55,0.010777799999317494,0,0.0
6,0.55,0.018142966665616694,0,0.0
7,0.55,0.029237566666751036,0,0.0
8,0.55,0.04488069999979416,0,0.0
9,0.55,0.061299933332984814,0,0.0
10,0.55,0.08654859999997673,0,0.0
11,0.55,0.10868743333247721,0,0.0
12,0.55,0.13913196666663907,0,0.0
13,0.55,0.18100273333322056,0,0.0
14,0.55,0.22624299999970768,0,0.0
15,0.55,0.28232639999975123,0,0.0
16,0.55,0.3348042333328749,0,0.0
17,0.55,0.4073499999999323,0,0.0
18,0.55,0.48828340000000026,0,0.0
19,0.55,0.5607722333337506,0,0.0
20,0.55,0.6605236000000995,0,0.0
21,0.55,0.7532804666662211,0,0.0
22,0.55,0.866501399999701,0,0.0
23,0.55,0.9939848666671006,0,0.0
24,0.55,1.1333555333327656,0,0.0
25,0.55,1.2889444666673928,0,0.0
26,0.55,1.430563866666527,0,0.0
27,0.55,1.697018166666216,0,0.0
28,0.55,1.808863833333163,0,0.0
29,0.55,2.011488866666866,0,0.0
30,0.55,2.234606833333904,0,0.0
31,0.55,2.4275694333335687,0,0.0
32,0.55,2.6728167666661307,0,0.0
33,0.55,2.9287763666654123,0,0.0
34,0.55,3.2641846666661443,0,0.0
35,0.55,3.5131624333338607,0,0.0
36,0.55,3.8253196333338715,0,0.0
37,0.55,4.1041500000003355,0,0.0
38,0.55,4.473005466667483,0,0.0
39,0.55,4.798072133332927,0,0.0
40,0.55,5.165188899999151,0,0.0
41,0.55,5.62621659999986,0,0.0
42,0.55,6.066602666666891,0,0.0
43,0.55,6.422511200000495,0,0.0
44,0.55,6.928222300000186,0,0.0
45,0.55,7.438773600000559,0,0.0
46,0.55,7.975663833334086,0,0.0
47,0.55,8.444209666666325,0,0.0
48,0.55,9.18905399999943,0,0.0
49,0.55,9.698484566667057,0,0.0
50,0.55,10.228697266665895,0,0.0
1,0.6,0.000634533333965237,0,0.0
2,0.6,0.0013888666669477818,0,0.0
3,0.6,0.003072166666603001,0,0.0
4,0.6,0.006340300000099812,0,0.0
5,0.6,0.011677799999887384,0,0.0
6,0.6,0.020236133332692436,0,0.0
7,0.6,0.03155973333264228,0,0.0
8,0.6,0.046104099999884816,0,0.0
9,0.6,0.06344026666695868,0,0.0
10,0.6,0.08819020000008966,0,0.0
11,0.6,0.1169569000002942,0,0.0
12,0.6,0.15174033333404205,0,0.0
13,0.6,0.1964221666672946,0,0.0
14,0.6,0.24446260000132725,0,0.0
15,0.6,0.3042387666667423,0,0.0
16,0.6,0.3666557333327584,0,0.0
17,0.6,0.4383084666663706,0,0.0
18,0.6,0.5224806333330889,0,0.0
19,0.6,0.6139596999995925,0,0.0
20,0.6,0.7225568666662241,0,0.0
21,0.6,0.8219153333335782,0,0.0
22,0.6,0.9461736000005772,0,0.0
23,0.6,1.0806263666670664,0,0.0
24,0.6,1.2227292000008088,0,0.0
25,0.6,1.3881721000006546,0,0.0
26,0.6,1.8759972000000384,0,0.0
27,0.6,2.1420206999991365,0,0.0
28,0.6,1.9438847333333342,0,0.0
29,0.6,2.153294333333141,0,0.0
30,0.6,2.394061100000281,0,0.0
31,0.6,2.6578292666665484,0,0.0
32,0.6,2.8932721666663497,0,0.0
33,0.6,3.2123335000003785,0,0.0
34,0.6,3.494431833333541,0,0.0
35,0.6,3.814183233333779,0,0.0
36,0.6,4.141500066666026,0,0.0
37,0.6,4.512749999999954,0,0.0
38,0.6,5.0464971999993224,0,0.0
39,0.6,5.324844433333453,0,0.0
40,0.6,5.658762433334156,0,0.0
41,0.6,6.1166166333327014,0,0.0
42,0.6,6.568518066665992,0,0.0
43,0.6,7.065445899999882,0,0.0
44,0.6,7.5931111333334895,0,0.0
45,0.6,8.077997233332704,0,0.0
46,0.6,8.59732493333425,0,0.0
47,0.6,9.28898476666665,0,0.0
48,0.6,9.890611066665874,0,0.0
49,0.6,10.487068000000951,0,0.0
50,0.6,11.135404166666993,0,0.0
1,0.65,0.0006291666672098017,0,0.0
2,0.65,0.0014445999996818653,0,0.0
3,0.65,0.003420699999878707,0,0.0
4,0.65,0.007001433333897467,0,0.0
5,0.65,0.012711033333564123,0,0.0
6,0.65,0.020993033333146133,0,0.0
7,0.65,0.03375283333350391,0,0.0
8,0.65,0.05078760000027197,0,0.0
9,0.65,0.07088470000032505,0,0.0
10,0.65,0.09860686666627316,0,0.0
11,0.65,0.126398666665987,0,0.0
12,0.65,0.1648096333331258,0,0.0
13,0.65,0.20911103333318692,0,0.0
14,0.65,0.26111663333310275,0,0.0
15,0.65,0.32403333333329937,0,0.0
16,0.65,0.3977598666663103,0,0.0
17,0.65,0.473759833334005,0,0.0
18,0.65,0.5667876666661206,0,0.0
19,0.65,0.6562750000009979,0,0.0
20,0.65,0.7683376000005163,0,0.0
21,0.65,0.8834625333330829,0,0.0
22,0.65,1.029051399999048,0,0.0
23,0.65,1.151116699999477,0,0.0
24,0.65,1.3288667666661997,0,0.0
25,0.65,1.503394500000373,0,0.0
26,0.65,1.684037566666774,0,0.0
27,0.65,1.9076194000002527,0,0.0
28,0.65,2.126294400000243,0,0.0
29,0.65,2.3640472666670576,0,0.0
30,0.65,2.6153833666666535,0,0.0
31,0.65,2.846118000000312,0,0.0
32,0.65,3.1275847333335585,0,0.0
33,0.65,3.4545889333320665,0,0.0
34,0.65,3.7707958000005704,0,0.0
35,0.65,4.1384457666675685,0,0.0
36,0.65,4.482588966666867,0,0.0
37,0.65,4.857522199999664,0,0.0
38,0.65,5.232427766666348,0,0.0
39,0.65,5.700670733332913,0,0.0
40,0.65,6.145387566665761,0,0.0
41,0.65,6.6228944000004715,0,0.0
42,0.65,7.13078470000023,0,0.0
43,0.65,7.658208333332557,0,0.0
44,0.65,8.199818066666372,0,0.0
45,0.65,8.7670500666673,0,0.0
46,0.65,9.370211133333584,0,0.0
47,0.65,9.981350166666422,0,0.0
48,0.65,10.658947133333166,0,0.0
49,0.65,11.340429200001031,0,0.0
50,0.65,12.02926810000046,0,0.0
1,0.7,0.0006388000014586245,0,0.0
